dataset,model,calibrator,auc_mean,auc_std,ece_mean,ece_std,brier_mean,brier_std,mce_mean,cal_slope_mean
Breast Cancer,Decision Tree,Beta,0.9167,0.0445,0.0675,0.036,0.0674,0.0334,0.2298,0.3291
Breast Cancer,Decision Tree,Isotonic,0.9167,0.0445,0.0662,0.0365,0.0674,0.0334,0.2131,0.3289
Breast Cancer,Decision Tree,Platt,0.9167,0.0445,0.0444,0.0311,0.065,0.0326,0.1945,0.8319
Breast Cancer,Decision Tree,Uncalibrated,0.9167,0.0445,0.0662,0.0365,0.0674,0.0334,0.2131,0.3289
Breast Cancer,Gradient Boosting,Beta,0.9923,0.0106,0.0396,0.0196,0.0309,0.0202,0.559,0.7479
Breast Cancer,Gradient Boosting,Isotonic,0.9876,0.0155,0.0402,0.0211,0.0307,0.0209,0.5952,0.7207
Breast Cancer,Gradient Boosting,Platt,0.9923,0.0106,0.044,0.0135,0.0325,0.022,0.6352,1.2396
Breast Cancer,Gradient Boosting,Uncalibrated,0.9923,0.0106,0.0405,0.0205,0.0306,0.0207,0.5936,0.7992
Breast Cancer,Logistic Regression,Beta,0.9947,0.0069,0.0328,0.0175,0.0204,0.013,0.529,0.8774
Breast Cancer,Logistic Regression,Isotonic,0.9894,0.0083,0.0278,0.0176,0.0229,0.0185,0.2085,0.6613
Breast Cancer,Logistic Regression,Platt,0.9947,0.0069,0.0436,0.0153,0.0206,0.0137,0.5284,1.3807
Breast Cancer,Logistic Regression,Uncalibrated,0.9947,0.0069,0.0394,0.0171,0.0207,0.0125,0.4763,1.0603
Breast Cancer,MLP,Beta,0.9905,0.0075,0.0598,0.0205,0.0362,0.0183,0.6532,0.9714
Breast Cancer,MLP,Isotonic,0.985,0.0144,0.0439,0.0165,0.0375,0.0184,0.475,0.7572
Breast Cancer,MLP,Platt,0.9905,0.0075,0.0749,0.0267,0.0365,0.0161,0.6333,1.4038
Breast Cancer,MLP,Uncalibrated,0.9905,0.0075,0.0808,0.0207,0.0377,0.0142,0.5667,1.4411
Breast Cancer,Random Forest,Beta,0.9902,0.0132,0.0454,0.0226,0.0324,0.019,0.6573,0.8021
Breast Cancer,Random Forest,Isotonic,0.973,0.0214,0.0451,0.0276,0.0371,0.0236,0.4254,0.4932
Breast Cancer,Random Forest,Platt,0.9902,0.0132,0.0635,0.0212,0.0321,0.019,0.5787,1.3624
Breast Cancer,Random Forest,Uncalibrated,0.9902,0.0132,0.0685,0.0173,0.0328,0.0155,0.5867,1.3051
Breast Cancer,SVM (RBF),Beta,0.9956,0.0058,0.0361,0.0204,0.0224,0.0158,0.5147,0.9866
Breast Cancer,SVM (RBF),Isotonic,0.9904,0.0113,0.0302,0.0215,0.0215,0.0167,0.3679,0.6932
Breast Cancer,SVM (RBF),Platt,0.9956,0.0058,0.0477,0.021,0.0211,0.015,0.4853,1.3932
Breast Cancer,SVM (RBF),Uncalibrated,0.9956,0.0058,0.0402,0.0172,0.0211,0.0133,0.499,1.1191
Cleveland Heart,Decision Tree,Beta,0.7893,0.0739,0.2356,0.0668,0.2177,0.0594,0.6533,0.1836
Cleveland Heart,Decision Tree,Isotonic,0.7893,0.0739,0.2318,0.0625,0.2188,0.0597,0.6608,0.1836
Cleveland Heart,Decision Tree,Platt,0.7893,0.0739,0.2013,0.0715,0.2073,0.0558,0.6927,0.5335
Cleveland Heart,Decision Tree,Uncalibrated,0.7893,0.0739,0.2318,0.0625,0.2188,0.0597,0.6608,0.1836
Cleveland Heart,Gradient Boosting,Beta,0.8508,0.0608,0.2122,0.0699,0.1884,0.0648,0.7526,0.2532
Cleveland Heart,Gradient Boosting,Isotonic,0.8077,0.0769,0.2156,0.0749,0.2024,0.0711,0.593,0.1781
Cleveland Heart,Gradient Boosting,Platt,0.8508,0.0608,0.1988,0.0641,0.1691,0.0553,0.717,0.6282
Cleveland Heart,Gradient Boosting,Uncalibrated,0.8508,0.0608,0.2192,0.0572,0.1662,0.0521,0.6948,0.5249
Cleveland Heart,Logistic Regression,Beta,0.9008,0.0644,0.1794,0.0366,0.126,0.0433,0.699,0.8953
Cleveland Heart,Logistic Regression,Isotonic,0.892,0.0606,0.1385,0.0285,0.132,0.0454,0.5987,0.6612
Cleveland Heart,Logistic Regression,Platt,0.9008,0.0644,0.1862,0.0285,0.1257,0.0391,0.6843,1.1297
Cleveland Heart,Logistic Regression,Uncalibrated,0.9008,0.0644,0.1788,0.0385,0.1244,0.0426,0.708,0.9274
Cleveland Heart,MLP,Beta,0.8802,0.0624,0.1909,0.0323,0.1398,0.0393,0.6651,0.9439
Cleveland Heart,MLP,Isotonic,0.8734,0.0522,0.1542,0.046,0.1431,0.0389,0.5537,0.7291
Cleveland Heart,MLP,Platt,0.8802,0.0624,0.1909,0.0382,0.1453,0.0306,0.5416,1.315
Cleveland Heart,MLP,Uncalibrated,0.8802,0.0624,0.2016,0.0499,0.1517,0.0291,0.5279,1.4009
Cleveland Heart,Random Forest,Beta,0.9082,0.0594,0.1839,0.058,0.1439,0.0544,0.8353,0.4849
